id	periodo	estu_tipodocumento	cole_area_ubicacion	cole_bilingue	cole_calendario	cole_caracter	cole_jornada	cole_mcpio_ubicacion	cole_naturaleza	estu_genero	fami_educacionmadre	fami_educacionpadre	fami_estratovivienda	fami_personashogar	fami_tieneautomovil	fami_tienecomputador	fami_tieneinternet	fami_tienelavadora	punt_ingles	punt_matematicas	punt_sociales_ciudadanas	punt_c_naturales	punt_lectura_critica	punt_global
182	2022	1	2	2	1	2	6	3	1	1	5	5	3	2	0	0	1	1	1	3	1	2	2	2
183	2022	1	2	2	1	1	2	12	1	1	4	3	1	3	0	0	0	0	2	2	1	1	2	1
184	2022	1	2	2	1	1	6	3	1	1	3	3	1	3	0	0	0	0	3	4	4	2	2	3
185	2022	1	2	2	1	3	1	3	2	1	1	1	3	1	0	1	1	0	3	1	3	3	2	3
186	2022	1	2	2	1	3	3	19	1	1	4	3	2	2	1	1	1	1	2	1	2	1	1	1
187	2022	1	1	2	1	1	2	10	1	2	5	4	2	3	0	0	0	1	2	3	2	3	2	2
188	2022	1	2	2	1	1	4	3	1	2	1	1	3	3	0	1	1	1	4	4	4	4	4	4
189	2022	2	2	2	1	4	5	3	2	1	7	3	1	3	0	0	1	1	3	3	2	4	2	3
190	2022	1	2	2	1	3	4	3	2	2	1	1	4	2	1	1	1	1	4	3	2	2	3	3
191	2022	1	2	2	1	2	2	19	1	2	8	2	1	2	0	0	1	0	4	4	4	4	4	4
192	2022	1	2	2	1	1	1	3	1	1	3	2	2	1	0	0	1	1	2	2	3	2	2	2
193	2022	1	2	2	1	1	1	12	1	2	1	2	3	2	0	0	1	0	2	3	2	3	2	3
194	2022	1	2	2	1	2	6	22	1	2	2	3	2	3	0	1	1	1	3	1	3	3	3	3
195	2022	1	1	2	1	1	1	10	1	2	2	8	2	1	0	1	1	1	1	1	1	2	2	1
196	2022	1	2	2	1	2	1	3	1	2	7	4	1	2	0	1	1	1	2	2	2	3	1	2
197	2022	1	2	2	1	1	6	17	1	2	3	10	1	3	0	0	0	1	1	2	1	2	3	2
198	2022	1	1	2	1	1	2	15	1	1	5	2	5	4	0	0	0	0	2	4	4	4	4	4
199	2022	1	2	2	1	2	6	22	1	2	1	7	1	5	0	0	0	1	1	1	3	3	2	2
200	2022	1	2	2	1	3	2	19	2	1	9	1	2	2	0	1	1	1	4	4	4	4	4	4
201	2022	1	2	2	1	1	6	1	1	1	3	5	1	3	0	0	0	1	3	1	3	3	1	2
202	2022	4	1	2	1	1	1	14	1	1	4	5	4	4	0	0	1	1	2	1	1	2	1	1
203	2022	1	1	2	1	1	2	10	1	2	2	3	1	3	0	0	1	1	2	3	1	2	2	2
204	2022	1	2	2	1	1	2	3	1	2	5	2	2	2	1	1	1	1	2	3	2	3	4	3
205	2022	1	1	2	1	1	1	10	1	2	3	3	5	3	0	0	0	1	3	1	1	1	3	1
206	2022	1	2	2	1	3	2	3	1	1	1	1	3	3	1	0	1	1	1	1	1	1	1	1
207	2022	1	2	2	1	3	1	3	1	1	5	2	1	4	0	0	1	1	2	3	3	2	3	3
208	2022	2	2	2	1	3	2	3	1	2	1	2	1	2	0	0	1	1	1	1	1	1	1	1
209	2022	1	2	2	1	3	2	19	1	2	2	5	2	2	0	0	0	0	1	1	2	1	1	1
210	2022	1	2	2	1	3	2	9	2	2	7	1	1	3	0	1	1	1	4	2	3	4	4	4
211	2022	1	2	2	1	1	2	8	1	2	5	2	7	2	0	0	1	0	2	3	2	1	2	2
212	2022	2	2	2	1	1	6	17	1	2	3	4	7	2	0	0	0	1	1	1	2	3	3	1
213	2022	2	2	2	1	3	3	19	1	2	2	2	2	4	0	0	0	1	2	2	3	2	1	2
214	2022	2	1	2	1	1	1	10	1	2	2	2	3	4	0	0	0	1	3	1	1	2	2	1
215	2022	1	2	2	1	1	2	3	1	1	2	4	1	2	0	0	1	1	3	4	3	3	4	4
216	2022	1	1	2	1	1	2	15	1	1	2	2	7	3	0	0	0	1	3	2	2	4	3	3
217	2022	1	1	2	1	2	2	6	1	2	10	3	1	3	0	0	0	1	1	2	2	2	2	2
218	2022	1	1	2	1	3	2	2	1	2	5	11	1	1	0	0	0	0	2	3	4	4	4	4
219	2022	1	1	2	1	2	6	14	1	1	2	1	3	3	0	1	1	1	1	1	1	1	1	1
220	2022	1	1	2	1	3	2	10	2	1	11	7	2	3	0	1	1	1	3	3	2	3	3	3
221	2022	1	1	2	1	1	1	10	1	1	2	2	7	3	0	1	1	1	1	2	2	1	1	2
222	2022	1	1	2	1	2	2	27	1	2	3	3	1	2	0	0	1	1	3	1	2	2	3	2
223	2022	1	1	2	1	1	2	7	1	2	3	3	1	3	0	0	0	1	2	2	2	1	3	2
224	2022	1	2	2	1	3	2	3	2	1	2	11	2	4	1	0	1	0	4	4	4	4	3	4
225	2022	1	1	2	1	1	6	8	1	2	11	6	1	4	1	1	1	1	4	4	4	4	4	4
226	2022	1	1	2	1	1	1	10	1	1	11	1	1	3	0	1	0	1	3	2	1	2	4	2
227	2022	1	2	2	1	3	1	3	1	2	3	3	1	3	0	1	1	1	1	2	2	2	2	2
228	2022	1	2	2	1	3	2	3	1	2	1	11	3	3	0	1	1	0	4	3	4	4	4	4
229	2022	1	2	2	1	3	2	3	1	1	2	2	1	3	0	1	1	1	1	2	2	1	1	2
230	2022	1	2	2	1	1	1	12	1	1	2	2	2	2	1	1	1	1	1	1	2	2	1	1
231	2022	1	2	2	1	3	4	3	2	1	2	1	3	2	1	1	1	1	4	4	1	4	3	3
232	2022	1	2	2	1	1	4	3	1	2	1	11	4	2	1	1	1	1	4	4	4	4	4	4
233	2022	2	2	2	1	1	6	30	1	2	2	7	3	3	0	0	1	1	4	4	4	4	4	4
234	2022	1	2	2	1	3	4	3	2	2	9	9	5	2	1	1	1	1	4	4	4	4	4	4
235	2022	1	2	2	1	1	6	11	1	2	7	3	1	4	0	0	0	0	3	2	2	2	2	2
236	2022	1	2	2	1	1	2	9	1	2	3	5	4	2	0	0	1	1	1	2	3	1	1	2
237	2022	1	2	2	1	3	2	19	1	2	6	2	4	2	0	1	1	1	3	2	2	2	2	2
238	2022	1	1	2	1	1	2	10	1	2	5	3	3	2	0	1	1	1	3	3	2	3	2	3
239	2022	2	2	2	1	3	2	3	1	1	5	2	1	3	1	0	0	1	3	1	1	1	1	1
240	2022	1	1	2	1	2	6	14	1	2	2	10	3	4	0	0	0	1	3	1	3	2	1	2
241	2022	1	2	2	1	1	2	3	1	1	2	5	1	2	0	0	0	1	3	2	1	2	1	1
242	2022	1	2	2	1	1	4	3	1	2	11	9	4	2	1	1	1	1	4	3	4	2	2	3
