ID;periodo;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;estu_genero;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;punt_ingles;punt_matematicas;punt_sociales_ciudadanas;punt_c_naturales;punt_lectura_critica;punt_global
196;20224;1;2;2;1;3;1;3;1;2;5;5;1;3;0;1;1;1;3;3;3;3;3;3
197;20224;1;2;2;1;1;2;3;1;2;7;7;2;2;0;1;1;1;3;3;3;3;3;3
198;20224;1;2;0;1;1;3;3;1;1;1;2;2;3;1;0;1;1;3;3;3;2;3;3
199;20224;1;2;0;1;3;2;3;1;1;7;1;2;2;0;1;1;1;3;3;1;2;2;3
200;20224;1;1;2;1;2;2;27;1;2;6;2;1;2;0;0;0;1;2;2;2;2;2;3
201;20224;1;1;2;1;2;6;26;1;1;0;0;0;3;0;0;3;1;2;2;1;2;2;2
202;20224;1;2;2;1;1;2;9;1;1;5;4;1;2;0;0;1;1;2;3;2;3;3;3
203;20224;2;1;2;1;1;2;20;1;2;0;10;2;3;0;3;0;1;2;1;2;2;1;2
204;20224;1;2;2;1;1;3;9;1;2;4;2;1;2;0;1;0;1;2;2;3;2;2;3
205;20224;1;1;2;1;3;2;3;1;2;0;0;0;0;3;3;3;3;2;2;2;2;3;3
206;20224;1;2;2;1;3;1;3;1;2;5;5;2;3;0;0;1;1;2;2;2;2;2;2
207;20224;1;2;2;1;1;2;3;1;2;7;2;2;2;0;0;1;1;2;1;2;2;2;2
208;20224;1;1;2;1;3;2;29;1;1;4;4;1;3;0;0;0;1;2;2;2;2;2;2
209;20224;1;2;2;1;3;1;3;1;2;5;2;1;3;0;0;0;0;2;3;3;3;3;4
210;20224;1;2;0;1;1;2;3;1;2;2;2;3;2;1;1;1;1;3;3;3;3;3;3
211;20224;1;2;2;1;3;2;3;2;2;2;2;4;3;0;1;1;1;3;2;3;3;3;3
212;20224;2;2;2;1;1;6;6;1;1;5;5;3;2;0;0;1;1;2;2;1;2;2;2
213;20224;1;2;2;1;2;6;3;1;1;11;7;3;2;0;1;1;1;2;2;1;2;2;2
214;20224;1;1;2;1;1;6;23;1;2;0;0;0;4;1;0;3;1;2;2;1;2;2;2
215;20224;1;2;2;1;1;2;8;1;1;1;1;3;2;0;1;1;1;3;2;2;2;3;3
216;20224;2;1;2;1;1;2;12;1;2;3;3;7;4;0;0;0;1;2;2;2;2;3;3
217;20224;1;2;0;1;3;3;3;1;1;0;0;0;2;0;0;3;1;2;1;1;2;2;2
218;20224;1;2;0;1;1;2;3;1;2;2;2;1;2;0;1;1;1;3;3;3;3;3;4
219;20224;1;2;2;1;1;6;3;1;1;3;10;1;2;0;0;1;1;2;2;2;2;2;2
220;20224;1;2;2;1;2;2;15;1;1;5;5;6;2;0;0;0;0;2;2;2;2;2;3
221;20224;1;1;2;1;3;2;3;1;2;3;3;1;5;0;0;0;1;2;2;2;2;2;3
222;20224;1;2;0;1;3;1;3;1;1;6;11;3;3;1;0;1;1;3;3;3;3;3;3
223;20224;1;2;0;1;0;2;3;2;2;7;2;3;2;1;1;1;0;4;3;3;3;3;4
224;20224;1;2;0;1;3;1;19;1;2;5;4;1;0;3;3;1;3;2;2;2;2;2;3
225;20224;2;2;2;1;1;6;6;1;1;0;0;0;4;0;0;3;1;2;3;2;2;2;3
226;20224;1;1;2;1;1;2;15;1;2;10;10;7;5;0;0;0;0;2;2;2;2;2;3
227;20224;1;2;0;1;1;2;29;1;2;3;3;1;4;0;0;0;1;2;1;2;2;2;2
228;20224;2;2;2;1;1;3;11;1;1;4;5;6;3;3;1;0;0;2;1;1;2;2;2
229;20224;1;2;0;1;0;1;19;2;1;6;6;2;3;1;0;1;1;1;2;2;1;2;2
230;20224;1;1;2;1;3;2;28;1;1;10;10;1;3;1;0;0;1;2;3;3;3;2;3
231;20224;1;2;2;1;2;6;25;1;1;2;2;2;4;3;3;0;1;2;2;2;2;2;2
232;20224;2;2;0;1;0;4;3;2;2;3;3;2;3;0;0;1;1;2;2;2;2;2;2
233;20224;2;2;2;1;2;3;12;1;2;2;8;7;3;0;0;1;0;2;1;2;2;2;2
234;20224;2;2;2;1;1;3;3;1;1;0;0;0;1;0;0;3;1;2;2;3;2;2;3
235;20224;1;2;0;1;1;6;6;1;2;4;5;1;1;0;0;0;1;2;3;2;2;3;3
236;20224;1;1;2;1;1;6;12;1;2;6;7;1;3;0;0;0;1;2;2;3;2;3;3
237;20224;2;2;2;1;1;3;11;1;2;3;10;1;3;0;1;0;1;2;1;2;2;2;2
238;20224;1;2;2;1;3;1;3;1;2;5;2;1;3;0;0;1;1;3;2;2;2;2;3
239;20224;1;2;0;1;0;2;3;2;1;7;7;2;4;1;1;1;1;3;3;2;3;3;3
240;20224;1;2;2;1;3;6;3;1;2;7;7;1;3;0;1;1;0;2;2;1;2;2;3
241;20224;1;2;2;1;1;6;14;1;2;2;3;2;5;0;0;0;1;2;3;3;2;2;3
242;20224;1;2;2;1;1;1;8;1;2;2;5;2;3;0;0;0;1;2;1;1;2;2;2
243;20224;1;2;2;1;1;2;13;1;2;1;3;3;2;1;1;1;1;3;3;3;3;3;3
244;20224;1;1;2;1;1;6;6;1;2;2;2;1;4;0;0;0;1;3;3;2;3;3;3
245;20224;1;2;2;1;3;2;3;2;2;7;7;2;2;0;1;1;1;3;3;3;3;3;3
246;20224;1;2;2;1;3;1;3;1;2;7;6;2;3;0;0;1;1;2;3;2;2;2;3
247;20224;1;1;2;1;3;6;3;1;2;2;3;1;1;0;0;0;1;3;3;3;3;3;4
